"SUBAREA","YEAR","MEAN_TEMPERATURE_200M","MEAN_GEAR_TEMPERATURE","MEAN_SURFACE_TEMPERATURE","SD_TEMPERATURE_200M","SD_GEAR_TEMPERATURE","SD_SURFACE_TEMPERATURE","N_200M","N_GEAR","N_SURFACE","SE_TEMPERATURE_200M","SE_GEAR_TEMPERATURE","SE_SURFACE_TEMPERATURE"
"Central Aleutians",2022,4.44012962644126,4.58765432098765,6.08595041322314,0.334098073734751,0.462489503847675,0.897095894079391,90,243,242,0.0352170291625564,0.0296687155048702,0.0576675081889224
"Central Aleutians",2024,4.23005612448686,4.27445652173913,5.3989010989011,0.268267551645492,0.582579273679702,0.69321805511144,70,184,182,0.0320641052682784,0.0429483138633172,0.0513847409648492
"Eastern Aleutians",1991,NA,4.7,7.26153846153846,NA,0.532916503778969,1.25381878214578,0,16,26,NA,0.133229125944742,0.245894093718096
"Eastern Aleutians",1994,4,4.36984126984127,5.32539682539683,0,0.42107195026692,0.506718810478736,2,63,63,0,0.0530500792605346,0.0638405693888193
"Eastern Aleutians",1997,NA,4.836,6.064,NA,0.476706387194295,0.551347144247059,0,50,50,NA,0.0674164638040051,0.0779722608969867
"Eastern Aleutians",2000,3.93204151031895,4.23157894736842,5.01551724137931,0.375663959523315,0.438812478146923,0.477126532240343,13,57,58,0.104190436031165,0.0581221325989497,0.0626497829712089
"Eastern Aleutians",2002,4.13775174378623,4.30983606557377,5.15245901639344,0.404775031519399,0.412999159818672,0.502860669031707,15,61,61,0.104512463735681,0.0528791238380902,0.0643847111037885
"Eastern Aleutians",2004,4.22864583333333,4.63018867924528,5.8377358490566,0.151001823376007,0.550379206918137,0.544986384831464,12,53,53,0.043590471687131,0.0756003982479075,0.0748596371648072
"Eastern Aleutians",2006,4.11666666666667,4.4,5.86136363636364,0.248022481874429,0.445128672277715,0.84529227340852,12,44,44,0.0715979233376404,0.0671056722442842,0.127432604958299
"Eastern Aleutians",2010,3.99624106634107,4.558,5.348,0.299502599044056,0.64557836749029,0.607517531451075,10,50,50,0.0947110378119386,0.0912985682879451,0.0859159532357534
"Eastern Aleutians",2012,3.83963800904977,3.83272727272727,4.76,0.216616047801924,0.332807666319366,0.584237394672177,13,55,55,0.0600784821106305,0.0448757765718459,0.0787785542267729
"Eastern Aleutians",2014,4.24850415668647,4.72790697674419,6.44651162790698,0.310630640834752,0.726808280673059,0.866396158482366,13,43,43,0.0861534387123029,0.11083722370854,0.132124175510222
"Eastern Aleutians",2016,4.71009141116117,5.4046511627907,7.20697674418605,0.386478890671204,0.887734808206255,0.677318012400734,12,43,43,0.111566845782564,0.135378289085943,0.103290028551633
"Eastern Aleutians",2018,4.41507946754671,4.86444444444444,6.06976744186047,0.300492536934354,0.558876940250208,0.489185369345196,11,45,43,0.0906019088466603,0.0833124552971035,0.0746000694527695
"Eastern Aleutians",2022,4.28497133926679,4.57608695652174,6.31521739130435,0.333869553275526,0.485882831147453,0.918686838507212,11,46,46,0.100665457921681,0.0716395150864601,0.135452984563261
"Eastern Aleutians",2024,4.28602789754363,4.36,5.40588235294118,0.0779835942565778,0.899084501688507,0.694542001465971,7,35,34,0.0294750281065528,0.151973018392502,0.11911297057346
